class_name,image_path,target
n01443537,n01443537/n01443537_generated_0.JPEG,0
n01608432,n01608432/n01608432_generated_0.JPEG,16
n01729322,n01729322/n01729322_generated_0.JPEG,32
n01795545,n01795545/n01795545_generated_0.JPEG,48
n01930112,n01930112/n01930112_generated_0.JPEG,64
n02056570,n02056570/n02056570_generated_0.JPEG,80
n02089973,n02089973/n02089973_generated_0.JPEG,96
n02096585,n02096585/n02096585_generated_0.JPEG,112
n01443537,n01443537/n01443537_generated_1.JPEG,0
n01608432,n01608432/n01608432_generated_1.JPEG,16
n01729322,n01729322/n01729322_generated_1.JPEG,32
n01795545,n01795545/n01795545_generated_1.JPEG,48
n01930112,n01930112/n01930112_generated_1.JPEG,64
n02056570,n02056570/n02056570_generated_1.JPEG,80
n02089973,n02089973/n02089973_generated_1.JPEG,96
n02096585,n02096585/n02096585_generated_1.JPEG,112
n01443537,n01443537/n01443537_generated_2.JPEG,0
n01608432,n01608432/n01608432_generated_2.JPEG,16
n01729322,n01729322/n01729322_generated_2.JPEG,32
n01795545,n01795545/n01795545_generated_2.JPEG,48
n01930112,n01930112/n01930112_generated_2.JPEG,64
n02056570,n02056570/n02056570_generated_2.JPEG,80
n02096585,n02096585/n02096585_generated_2.JPEG,112
n02089973,n02089973/n02089973_generated_2.JPEG,96
n01608432,n01608432/n01608432_generated_3.JPEG,16
n01443537,n01443537/n01443537_generated_3.JPEG,0
n01729322,n01729322/n01729322_generated_3.JPEG,32
n01795545,n01795545/n01795545_generated_3.JPEG,48
n01930112,n01930112/n01930112_generated_3.JPEG,64
n02056570,n02056570/n02056570_generated_3.JPEG,80
n02096585,n02096585/n02096585_generated_3.JPEG,112
n02089973,n02089973/n02089973_generated_3.JPEG,96
n01608432,n01608432/n01608432_generated_4.JPEG,16
n01443537,n01443537/n01443537_generated_4.JPEG,0
n01729322,n01729322/n01729322_generated_4.JPEG,32
n01795545,n01795545/n01795545_generated_4.JPEG,48
n01930112,n01930112/n01930112_generated_4.JPEG,64
n02056570,n02056570/n02056570_generated_4.JPEG,80
n02089973,n02089973/n02089973_generated_4.JPEG,96
n02096585,n02096585/n02096585_generated_4.JPEG,112
n01608432,n01608432/n01608432_generated_5.JPEG,16
n01443537,n01443537/n01443537_generated_5.JPEG,0
n01729322,n01729322/n01729322_generated_5.JPEG,32
n01795545,n01795545/n01795545_generated_5.JPEG,48
n01930112,n01930112/n01930112_generated_5.JPEG,64
n02056570,n02056570/n02056570_generated_5.JPEG,80
n02096585,n02096585/n02096585_generated_5.JPEG,112
n02089973,n02089973/n02089973_generated_5.JPEG,96
n01729322,n01729322/n01729322_generated_6.JPEG,32
n01608432,n01608432/n01608432_generated_6.JPEG,16
n01443537,n01443537/n01443537_generated_6.JPEG,0
n01795545,n01795545/n01795545_generated_6.JPEG,48
n01930112,n01930112/n01930112_generated_6.JPEG,64
n02056570,n02056570/n02056570_generated_6.JPEG,80
n02096585,n02096585/n02096585_generated_6.JPEG,112
n02089973,n02089973/n02089973_generated_6.JPEG,96
n01443537,n01443537/n01443537_generated_7.JPEG,0
n01608432,n01608432/n01608432_generated_7.JPEG,16
n01729322,n01729322/n01729322_generated_7.JPEG,32
n01795545,n01795545/n01795545_generated_7.JPEG,48
n01930112,n01930112/n01930112_generated_7.JPEG,64
n02056570,n02056570/n02056570_generated_7.JPEG,80
n02096585,n02096585/n02096585_generated_7.JPEG,112
n02089973,n02089973/n02089973_generated_7.JPEG,96
n01443537,n01443537/n01443537_generated_8.JPEG,0
n01608432,n01608432/n01608432_generated_8.JPEG,16
n01729322,n01729322/n01729322_generated_8.JPEG,32
n01795545,n01795545/n01795545_generated_8.JPEG,48
n01930112,n01930112/n01930112_generated_8.JPEG,64
n02056570,n02056570/n02056570_generated_8.JPEG,80
n02096585,n02096585/n02096585_generated_8.JPEG,112
n02089973,n02089973/n02089973_generated_8.JPEG,96
n01608432,n01608432/n01608432_generated_9.JPEG,16
n01729322,n01729322/n01729322_generated_9.JPEG,32
n01443537,n01443537/n01443537_generated_9.JPEG,0
n01795545,n01795545/n01795545_generated_9.JPEG,48
n01930112,n01930112/n01930112_generated_9.JPEG,64
n02096585,n02096585/n02096585_generated_9.JPEG,112
n02056570,n02056570/n02056570_generated_9.JPEG,80
n02089973,n02089973/n02089973_generated_9.JPEG,96
n01735189,n01735189/n01735189_generated_0.JPEG,33
n01614925,n01614925/n01614925_generated_0.JPEG,17
n01484850,n01484850/n01484850_generated_0.JPEG,1
n01806567,n01806567/n01806567_generated_0.JPEG,49
n01944390,n01944390/n01944390_generated_0.JPEG,65
n02097047,n02097047/n02097047_generated_0.JPEG,113
n02058221,n02058221/n02058221_generated_0.JPEG,81
n02090379,n02090379/n02090379_generated_0.JPEG,97
n01735189,n01735189/n01735189_generated_1.JPEG,33
n01614925,n01614925/n01614925_generated_1.JPEG,17
n01484850,n01484850/n01484850_generated_1.JPEG,1
n01806567,n01806567/n01806567_generated_1.JPEG,49
n01944390,n01944390/n01944390_generated_1.JPEG,65
n02097047,n02097047/n02097047_generated_1.JPEG,113
n02058221,n02058221/n02058221_generated_1.JPEG,81
n02090379,n02090379/n02090379_generated_1.JPEG,97
n01614925,n01614925/n01614925_generated_2.JPEG,17
n01484850,n01484850/n01484850_generated_2.JPEG,1
n01735189,n01735189/n01735189_generated_2.JPEG,33
n01806567,n01806567/n01806567_generated_2.JPEG,49
n01944390,n01944390/n01944390_generated_2.JPEG,65
n02097047,n02097047/n02097047_generated_2.JPEG,113
n02058221,n02058221/n02058221_generated_2.JPEG,81
n02090379,n02090379/n02090379_generated_2.JPEG,97
n01735189,n01735189/n01735189_generated_3.JPEG,33
n01484850,n01484850/n01484850_generated_3.JPEG,1
n01614925,n01614925/n01614925_generated_3.JPEG,17
n01806567,n01806567/n01806567_generated_3.JPEG,49
n01944390,n01944390/n01944390_generated_3.JPEG,65
n02097047,n02097047/n02097047_generated_3.JPEG,113
n02058221,n02058221/n02058221_generated_3.JPEG,81
n02090379,n02090379/n02090379_generated_3.JPEG,97
n01735189,n01735189/n01735189_generated_4.JPEG,33
n01484850,n01484850/n01484850_generated_4.JPEG,1
n01614925,n01614925/n01614925_generated_4.JPEG,17
n01806567,n01806567/n01806567_generated_4.JPEG,49
n01944390,n01944390/n01944390_generated_4.JPEG,65
n02097047,n02097047/n02097047_generated_4.JPEG,113
n02090379,n02090379/n02090379_generated_4.JPEG,97
n02058221,n02058221/n02058221_generated_4.JPEG,81
n01735189,n01735189/n01735189_generated_5.JPEG,33
n01614925,n01614925/n01614925_generated_5.JPEG,17
n01484850,n01484850/n01484850_generated_5.JPEG,1
n01806567,n01806567/n01806567_generated_5.JPEG,49
n01944390,n01944390/n01944390_generated_5.JPEG,65
n02097047,n02097047/n02097047_generated_5.JPEG,113
n02090379,n02090379/n02090379_generated_5.JPEG,97
n02058221,n02058221/n02058221_generated_5.JPEG,81
n01735189,n01735189/n01735189_generated_6.JPEG,33
n01484850,n01484850/n01484850_generated_6.JPEG,1
n01614925,n01614925/n01614925_generated_6.JPEG,17
n01806567,n01806567/n01806567_generated_6.JPEG,49
n01944390,n01944390/n01944390_generated_6.JPEG,65
n02097047,n02097047/n02097047_generated_6.JPEG,113
n02090379,n02090379/n02090379_generated_6.JPEG,97
n02058221,n02058221/n02058221_generated_6.JPEG,81
n01484850,n01484850/n01484850_generated_7.JPEG,1
n01614925,n01614925/n01614925_generated_7.JPEG,17
n01735189,n01735189/n01735189_generated_7.JPEG,33
n01806567,n01806567/n01806567_generated_7.JPEG,49
n01944390,n01944390/n01944390_generated_7.JPEG,65
n02097047,n02097047/n02097047_generated_7.JPEG,113
n02090379,n02090379/n02090379_generated_7.JPEG,97
n02058221,n02058221/n02058221_generated_7.JPEG,81
n01484850,n01484850/n01484850_generated_8.JPEG,1
n01614925,n01614925/n01614925_generated_8.JPEG,17
n01806567,n01806567/n01806567_generated_8.JPEG,49
n01735189,n01735189/n01735189_generated_8.JPEG,33
n01944390,n01944390/n01944390_generated_8.JPEG,65
n02097047,n02097047/n02097047_generated_8.JPEG,113
n02090379,n02090379/n02090379_generated_8.JPEG,97
n02058221,n02058221/n02058221_generated_8.JPEG,81
n01614925,n01614925/n01614925_generated_9.JPEG,17
n01484850,n01484850/n01484850_generated_9.JPEG,1
n01735189,n01735189/n01735189_generated_9.JPEG,33
n01806567,n01806567/n01806567_generated_9.JPEG,49
n01944390,n01944390/n01944390_generated_9.JPEG,65
n02097047,n02097047/n02097047_generated_9.JPEG,113
n02090379,n02090379/n02090379_generated_9.JPEG,97
n02058221,n02058221/n02058221_generated_9.JPEG,81
n01616318,n01616318/n01616318_generated_0.JPEG,18
n01494475,n01494475/n01494475_generated_0.JPEG,2
n01739381,n01739381/n01739381_generated_0.JPEG,34
n01807496,n01807496/n01807496_generated_0.JPEG,50
n01950731,n01950731/n01950731_generated_0.JPEG,66
n02097130,n02097130/n02097130_generated_0.JPEG,114
n02090622,n02090622/n02090622_generated_0.JPEG,98
n02077923,n02077923/n02077923_generated_0.JPEG,82
n01616318,n01616318/n01616318_generated_1.JPEG,18
n01739381,n01739381/n01739381_generated_1.JPEG,34
n01494475,n01494475/n01494475_generated_1.JPEG,2
n01807496,n01807496/n01807496_generated_1.JPEG,50
n01950731,n01950731/n01950731_generated_1.JPEG,66
n02097130,n02097130/n02097130_generated_1.JPEG,114
n02090622,n02090622/n02090622_generated_1.JPEG,98
n02077923,n02077923/n02077923_generated_1.JPEG,82
n01494475,n01494475/n01494475_generated_2.JPEG,2
n01616318,n01616318/n01616318_generated_2.JPEG,18
n01950731,n01950731/n01950731_generated_2.JPEG,66
n01739381,n01739381/n01739381_generated_2.JPEG,34
n01807496,n01807496/n01807496_generated_2.JPEG,50
